タイムスタンプ,授業名の頭文字で選択してください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業の全体感について教えてください [単位取得のしやすさ],授業の全体感について教えてください [高評価の取得のしやすさ],授業の全体感について教えてください [授業の面白さ],出欠は取りますか？,課題(リアぺ含む)・小テストはありましたか？(あったものを選択してください),課題(リアぺ含む)や小テストがある場合、その難易度や負担はどの程度でしたか？,試験の有無について教えてください,試験や期末レポートがあった場合、その難易度や負担はどの程度でしたか？,この授業の口コミやアドバイスを教えてください(自由記述)
2021/9/4 6:30,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,論理学Ⅰ,,,,,,,,,,,,,,,,,,佐々木 昭則,1(しにくい、面白くない),4,3,なし,課題(問題演習や小レポート、プレゼンテーションなど),きつい,ペーパーテスト,楽,めっちゃ簡単なテストなのに対面でやるからめんどくさかった
2021/9/4 6:46,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,歴史Ⅰ,,,,,,,,,,,,,,,,片山 杜秀,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,特になし,楽,期末レポート,普通,①小松左京について学んだ。②指定された教科書を読んで、自分で図書館で参考文献探せば単位は来る。④教授の声が優しい。あと成績も優しくつけてる気がする。
2021/9/4 6:51,か行,,,,,,,国語国文Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,小平 麻衣子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),3,4,あり,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",普通,期末レポート,普通,①色々な文学を読んで時代背景を考察する授業。②とりあえず毎回出席してレポートも出せば単位は来る。③毎回出席してレポートも出したけどB来たから、高評価取るのは難しいのかもしれない。④教授は穏やかで優しい先生。⑥時間帯が一限なので朝が弱い人にはお勧めしない。また本が読むのが極度に苦手でなければ、敬遠することは無いと思う。
2021/9/4 6:54,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,政治学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,滝田 遼介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,①毎週音声なしのパワーポイントが送られてくる。内容は近現代の日本の政治史。②レポートを文字数多めで出す。③レポートを文字数多めで出す。⑥日本史を受験で使わなかった人は、他の人より文献をたくさん読まなきゃいけないし、難しいかも。でも面白くてお勧めです〜
2021/9/4 6:59,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,川瀬 由高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),あり,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",楽,期末レポート,普通,①中国の文化人類学。中国の伝統文化や言語における「なぜ」を日本と中国を絡めながら説明してもらえる。②毎回リアクションペーパーを出して、期末レポートも出す。③任意の中間レポートも出すと高評価がもらえる。④教授は優しい方で中国の体験なども教えてもらえる。⑤リアクションペーパーに良いことを書くと加点してもらえて、授業内で紹介される。⑥中国に興味がなくても楽しめる内容。個人的には春学期とった授業の中で一番の当たりだった。
2021/9/4 7:58,か行,,,,,,,教育学Ⅰ,,,,,,,,,,山本 正身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,あり,リアクションペーパー,楽,期末レポート,きつい,毎回のリアペは必須で、リアペを出していた人のみ期末レポートの提出が可能。リアペは教授にメールを送るというものだが、しっかりと返事がもらえる。
2021/9/4 7:59,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,澤田 唯人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5(しやすい、面白い),5(しやすい、面白い),あり,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",楽,期末レポート,普通,イケメン社会学。最高でした。
2021/9/4 8:01,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,法学Ⅰ（憲法を含む）,,,,,,,,,,,,,河村 好彦,,,,,,3,3,2,なし,課題(問題演習や小レポート、プレゼンテーションなど),きつい,期末レポート,きつい,楽単って聞いて履修してみたら地獄でした。四千字近くのレポートを数回書かされます。
2021/9/4 8:04,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文化人類学Ⅰ,,,,,,,,,,,井上 京子,,,,,,,,4,2,2,なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,ペーパーテスト,普通,思ったより理系より
2021/9/4 8:05,か行,,,,,,,現代芸術論,,,,,,,,,,,,,,,,,,高桑 和巳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1(しにくい、面白くない),2,なし,リアクションペーパー,楽,期末レポート,きつい,"期末レポートの文字数が多い。授業はスライド。"
2021/9/4 8:07,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美術Ⅰ,,,,,,荒木 文果,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,リアクションペーパー,きつい,期末レポート,普通,"3つのレポート提出。授業は基礎的な美術史。評価が得やすい。"
2021/9/4 8:08,か行,,,,,,,基礎情報処理,岡本 昌樹／小畠 りか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5(しやすい、面白い),あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,ペーパーテスト,普通,実験は楽しい
2021/9/4 8:09,か行,,,,,,,近代思想史Ⅰ,,,,,,,,,,,定森 亮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,"高評価が得やすい。内容も噛み砕かれてて面白い。"
2021/9/4 8:10,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地理学Ⅰ,,,,,,,,,,,大島 英幹,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,3,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,複数人でのプレゼンテーションがある
2021/9/4 8:11,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地学Ⅰ,,,,松本 直記,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,5(しやすい、面白い),あり,リアクションペーパー,楽,ペーパーテスト,きつい,テストが良い点数ではなかったのに単位がきた
2021/9/4 8:12,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哲学Ⅰ,,,,,,,,,,,,,石田 知子,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,3,なし,リアクションペーパー,普通,期末レポート,普通,レポートの文字数は多めだが高評価を得やすい
2021/9/4 8:14,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人文科学特論Ⅰ,,,,,,,,,,,,,金山 弘昌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),3,なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,期末レポート,楽,毎回の課題も期末レポートも楽だった
2021/9/4 8:27,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,土居 洋平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,リアクションペーパー,普通,期末レポート,きつい,授業内容がとにかく面白い。ラジオ感覚で聴けてテンポが良い。課題も全13回のうち6回出せばよく、自分は最低限しか出してないがSが来た。
2021/9/4 9:16,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,法学Ⅰ（憲法を含む）,,,,,,,,,,,,,河村 好彦,,,,,,4,4,3,なし,課題(問題演習や小レポート、プレゼンテーションなど),きつい,なし,,2-3週に一回ほど2000字とかのレポートあり。授業はなくてレジュメが配られて終わり。
2021/9/4 9:19,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学Ⅰ,,,,,,,,,,,,恋田 知子,,,,,,,4,3,3,なし,リアクションペーパー,楽,期末レポート,普通,オンデマンド授業を聞いていればリアペは余裕。時間的な猶予もあるので、その日に聞かなくてもいい。レポートもまあまあ
2021/9/4 9:22,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,法学Ⅰ（憲法を含む）,,,,,,,,,,,,,金尾 悠香,,,,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,特になし,,期末レポート,楽,アーカイブが残らないのでリアルタイムで視聴する必要があるが、出欠はない。授業聞かなくても割とどうにかなる気がする。実際半数超聞いてなかった。期末レポートは期末テストの代わりとのことで、授業内容をまとめる感じだった
2021/9/4 9:25,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表象文化論Ⅰ,,,,,,,,岡田 尚文／杉原 賢彦／福田 桃子,,,,,,,,,,,4,3,1(しにくい、面白くない),なし,リアクションペーパー,楽,期末レポート,普通,"④杉原教授は自分と違う意見を述べる生徒を晒しあげて人格を否定するようなことを平気で仰る方です。毎授業の前半で受講者のリアクションを紹介する時間があるのですが、そこでは杉原教授自身を賞賛するコメントばかりを取り上げます。正直、何を見せられているんだという感覚でしたし、とてもいい気分にはなれない授業でした。三田でも授業を持たれているそうですが、この方の授業だけは今後一切受講することはありません。大学、ましてや慶應義塾大学での学習は生徒や教員が意見をぶつけ合い、昇華していくものだと思い期待していただけにショックでした。"
2021/9/4 9:29,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,法学Ⅰ（憲法を含む）,,,,,,,,,,,,,神野 潔,,,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,期末レポート,普通,先生がとても優しく、学生のことをよく考えてくださっている様子が伝わってきます。授業動画は1本20分程度のものが毎週3つ(たまに4つ)送られてきます。課題は語句説明が2題と視聴確認用のクイズ1題(動画内の雑談から出題:先生の娘の部活は？など)に答え、3週間分をまとめて提出でした。授業を倍速すれば課題も含めて1時間で終わる良単です。期末レポートはなかなか難しいですが、課題公示が6月、提出は8/2という良心的なものだったので、他のテストが終わった後に挑んでも十分間に合います。何書いてもSという話を友達から聞き、私もSだったのでサンプル数は6になりました。
2021/9/4 9:29,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理学Ⅰ（実験を含む）,,,,,,,,,杉本 憲彦,,,,,,,,,,5(しやすい、面白い),4,4,あり,課題(問題演習や小レポート、プレゼンテーションなど),きつい,なし,,"途中で先生が変更になったのであまり今後の参考にはならないかも。実験とオンデマンドの授業が交互にある。実験は2人ペアでやる。まあまあ楽しいし考察なども聞けば教えてくれるので楽勝。終われば早く帰れる。授業は杉本さんの時はリアタイでリアペ出す必要あり。変わった後はリアタイじゃなくなった上に簡単な一問だけの小テストだった。期末テストがある予定だったがなくなった。"
2021/9/4 10:29,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,情報リテラシー基礎,,,,,,,,恩田 憲一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),3,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,①スライドのみの授業。課題提出がなければ5分で終わる。②課題提出がある際はまじめにやる。③②と同じ。④スライドのみなのでよくわからないが、鬼畜とは程遠い。⑤特になし⑥超楽単である。最初の授業で2000字？程度、この授業に対する心構え的なものを書かされる為、きつい授業なのかと思うが、そこを乗り越えればあとは2回しかレポートがない。期末レポートはスライドを見ながらやれば良い。よほどの機械音痴でなければSがくる。4単位分のSがくるとかなり大きいので、是非履修をおすすめする。
2021/9/4 11:07,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,法学Ⅰ（憲法を含む）,,,,,,,,,,,,,藤田 祥子,,,,,,3,5(しやすい、面白い),3,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,弁護士目指してる友達つくれば余裕
2021/9/4 11:07,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,宮本 万里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1(しにくい、面白くない),1(しにくい、面白くない),なし,"リアクションペーパー, 特になし",普通,期末レポート,普通,授業は教授の研究内容など具体的なものでした。授業中にあくびをすることが多く内容もそれほどおもしろくはなかったです。単位はきますが高評価を得るのは難しいと思います。
2021/9/4 11:09,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,論理学Ⅰ,,,,,,,,,,,,,,,,,,秋吉 亮太,3,3,3,なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト",普通,期末レポート,普通,学ぶ分量が少なく短時間で単位取得可能
2021/9/4 11:10,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生物学Ⅰ（実験を含む）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福澤 利彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,実験とオンデマンドが隔週でした。内容としては生物に興味がないならば面白くは無いと思います。淡々としていれば単位は来ます。
2021/9/4 11:11,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地理学Ⅰ,,,,,,,,,,,長田 進,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),2,3,あり,特になし,,なし,きつい,オンデマンド授業が定期的に消されてくからそれまでに見てメモとってレポートでそれまとめれば単位はとれる
2021/9/4 11:13,あ行,アカデミック・リテラシー,アンダーウッド， ポール Ｒ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,オンラインテスト,普通,緊急事態宣言の時以外は基本対面でした。授業は配布されたテキストにそって世界の政治などについて学びます。意欲があればSきます。教員は優しい人です。
2021/9/4 11:51,か行,,,,,,,近代思想史Ⅰ,,,,,,,,,,,川添 美央子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,3,あり,リアクションペーパー,楽,期末レポート,普通,春学期はカトリックの歴史についての授業。オンデマンドでレジュメと音声のみの動画。レジュメだけの内容ではリアぺも期末レポも厳しいです。ただ動画は学期終わりまで残ってました。リアペは授業3回のうち1回くらいでした。ですが提出の必要がある授業の前の回、前々の回の内容を含むリアぺもありました。大体200字程度で難しいものではないです。期末レポは二つ質問が出て授業の内容に沿って合わせて2400字以上。
2021/9/4 11:58,か行,,,,,,,現代世界史,,,,,,,,,,,,,,,,,,,,,剣持 久木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,あり,課題(問題演習や小レポート、プレゼンテーションなど),楽,ペーパーテスト,普通,フランスの近代史についての授業。完全に教授の趣味で好きな歴史について話している、というイメージで個人的には面白かったです。ZOOMを用いた授業でしたが完全カメラオフ、生徒に対する質問等もありませんでした。毎回の出席確認を授業後30分以内に掲示板に書き込みます。内容は教授から授業の終わりに伝えられます。授業内容の記憶が曖昧でも個人の意見を問うものなので難しくはないです。期末は対面試験で1000字程度のレポート。授業で扱った内容から6個ほどテーマが出て、その中から一つ選ぶという方式でした。
2021/9/4 12:00,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美術Ⅰ,,,,,,國本 学史,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",楽,期末レポート,楽,①色についての授業で、ガイダンスと最終回以外全編オンデマンドでした。リアタイの2つも出席必須ではなく、後から見ればおkでした。②毎回リアペがあったが、堅い内容ではなく、自分の考えをちゃんと書いて出せば大丈夫です。③中間期末の2回レポートがあったが、そこでハイクオリティなものを出した人は高評価なのでは？④聖人。授業内容以外でも、悩みがあったら相談してくださいと毎授業冒頭で言ってました。⑤秋学期は開講してないため、もしこの講義が良かったなと思ったらぜひ学生さんから大学の方に言っていただけるとありがたいです、と言ってました。⑥本当に良い授業、というか教授が神でした！気楽に取って大丈夫です！
2021/9/4 12:06,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,歴史Ⅰ,,,,,,,,,,,,,,,,片山 杜秀,,,4,4,4,なし,特になし,楽,期末レポート,きつい,①水戸学とか尊皇攘夷についてで、学期中に出た教授の著書を教科書指定されました。②期末レポをちゃんと出すこと！③レポートの内容で勝負するしかないです。④全部音声パワポだったためよく分かりません⑤混乱しがちな幕末史が多少ちゃんと理解できるようになりました⑥片山さんの歴史はいくつかテーマがあるので、自分の好きそうな分野を選んで受講すれば苦じゃないと思います
2021/9/4 12:11,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,川瀬 由高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",普通,期末レポート,普通,①中国文化についてが主でした。②課題を毎回出すこと③リアペとレポートの内容が良ければ良いんじゃないでしょうか④普通の優しいおじさんって感じです⑤中国では卵かけご飯はドン引きだそうです。あと社会学と題しつつ授業内容は実は文化人類学に近いそうです。⑥レポートは課題文献の内容を紹介するものなので、そこまできつくはなかったです。中国文化に興味ある人におすすめ！
2021/9/4 12:18,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,白野 陽子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,なし,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",普通,オンラインテスト,普通,①認知の仕組みや記憶などについてでした。全編オンデマンドでした。テストのみリアタイ。②リアペを毎回きちんと出すこと！(教授が最初の授業でも成績評価の内訳を教えてくれます！)③リアペの内容とテストのできだと思います④真面目そうな方です⑤盲点の実験や条件づけの実験の話が面白かったです⑥リアペの期日が授業翌日までなので、コンスタントにやることが大事です！
2021/9/4 12:23,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生物学Ⅰ（実験を含む）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上村 佳孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,4,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,①色々な実験をしました。希望者は隔週で対面での実験がありました。②レポートを出すこと③レポートの内容④普通の方ですが授業動画の音声は教授ではなくAIでした。⑤最後の方でpcrの実験をやりました。⑥理数系壊滅的にダメな私でもsもらえたので、ちゃんとやれば単位来ます！
2021/9/4 12:25,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,政治学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,中野 勝郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1(しにくい、面白くない),1(しにくい、面白くない),1(しにくい、面白くない),なし,リアクションペーパー,普通,期末レポート,きつい,授業はYouTubeで配信します。レポートを出したし、リアペもちゃんと出したのに何故か落単しました。周りの友達も単位落としている子が何人かいたので単位取りにくいかと。おすすめしません！
2021/9/4 12:33,か行,,,,,,,国語国文Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,小平 麻衣子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5(しやすい、面白い),あり,リアクションペーパー,楽,期末レポート,普通,授業2回で一冊ずつ近代小説の一部(多くても10ページほど)を読み、その小説の内容について扱います。初回は高野聖から始まり、回を追うごとに小説の年代も新しくなりました(最後は村田沙耶香さんの小説)。オンデマンドの授業で毎回出席確認を掲示板に書きます。授業動画の公開は1週間です。出席確認は期限が本来の授業の終了時間までなので要注意です。字数制限はなく、小説の感想を述べます。期末レポートは授業で扱った小説から一つ選び、与えられるテーマに沿って3000字以上です。字数は多めですが好きな小説について書けるので、読書好きな方にはオススメです。
2021/9/4 12:41,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生物学Ⅰ（実験を含む）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林 良信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),3,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,オンデマンドの授業はレジュメのみでした。実験はオンデマンドで行うかオンラインで行うか選ぶことができます。実験以外の授業は毎回400字から1000字程度のレポートが課されます。実験でもいくつか問いに応えるタイプの課題がありました。期末レポはA41〜3枚程度。テーマが設けられますがかなり自由にかけます。レジュメのみの単調な授業でしたがレポートの提出期限が遅く、高評価を取りやすいので生物学の中では楽な授業だと思います。
2021/9/4 13:31,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,複合領域の理工学入門,,,,,,,アルマザン カバジェーロ， ホルヘ／大村 亮／柿沼 康弘／桂 誠一郎／須藤 亮／高橋 正樹／チッテリオ， ダニエル／寺川 光洋／中西 美和／舟橋 啓／牧 英之／三木 則尚／満倉 靖恵,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,リアクションペーパー,普通,なし,,授業によってちょっと書きにくいレポートもあったけど、普通にやっていればSくるとおもいます。実際私も内容がそんなに中身濃いわけでもなかったけどSきました。
